"s"	"p"	"o"
"http://www.openlinksw.com/virtrdf-data-formats#default-iid"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#default-iid-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#default-iid-nonblank"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#default-iid-nonblank-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#default"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#default-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-dt"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-dt-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-lang"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-lang-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-uri"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-uri-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-literal"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-literal-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longvarchar"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
